Participant Code,Session Code,Condition Code,Hand Dominance,Pointing Device,Device Experience,Amplitude,Width,Number of Targets,Task Index,Click Number,Completion Time (ms),Source X,Source Y,Target X,Target Y,Click X,Click Y,Source-Target Distance,dx,Incorrect
P4,S0,dom,Dominant,Touchpad,Intermediate,400,50,15,0,1,787,808,345.5,412.37047985323886,303.9176618364481,419,304.55924855491327,397.80875814730933,-6.66026701547312,0
P4,S0,dom,Dominant,Touchpad,Intermediate,400,50,15,0,2,1135.0000000000073,412.37047985323886,303.9176618364481,790.7090915285202,426.84732861516005,780,407.4104046242774,397.80875814730933,-16.191291113357128,0
P4,S0,dom,Dominant,Touchpad,Intermediate,400,50,15,0,3,741.9999999999927,790.7090915285202,426.84732861516005,446.1966011250105,227.9429495415054,472,239.65317919075144,397.80875814730933,-28.201513754346713,0
P4,S0,dom,Dominant,Touchpad,Intermediate,400,50,15,0,4,824,446.1966011250105,227.9429495415054,741.8261212717716,494.12896509547886,742,483.3005780346821,397.8087581473093,-7.116388122735803,0
P4,S0,dom,Dominant,Touchpad,Intermediate,400,50,15,0,5,776,741.8261212717716,494.12896509547886,507.9999999999999,172.29491924311233,525,191.72254335260115,397.8087581473094,-25.709627353877043,0
P4,S0,dom,Dominant,Touchpad,Intermediate,400,50,15,0,6,1011,507.9999999999999,172.29491924311233,669.8033988749895,535.7113032590307,664,520.2471098265896,397.8087581473094,-16.487698643156218,0
P4,S0,dom,Dominant,Touchpad,Intermediate,400,50,15,0,7,968,669.8033988749895,535.7113032590307,587.0943073464693,146.59562092634533,591,149.78323699421964,397.8087581473094,-3.9299981722619397,0
P4,S0,dom,Dominant,Touchpad,Intermediate,400,50,15,0,8,864,587.0943073464693,146.59562092634533,587.0943073464692,544.4043790736547,583,535.2254335260116,397.8087581473094,-9.178945547643096,0
P4,S0,dom,Dominant,Touchpad,Intermediate,400,50,15,0,9,781,587.0943073464692,544.4043790736547,669.8033988749894,155.28869674096927,680,163.76300578034682,397.8087581473094,-6.169132474248735,0
P4,S0,dom,Dominant,Touchpad,Intermediate,400,50,15,0,10,834,669.8033988749894,155.28869674096927,508,518.7050807568878,516,487.29479768786126,397.8087581473094,-31.948614565583874,0
P4,S0,dom,Dominant,Touchpad,Intermediate,400,50,15,0,11,775,508,518.7050807568878,741.8261212717716,196.87103490452108,727,207.6994219653179,397.80875814730945,-17.474924586101526,0
P4,S0,dom,Dominant,Touchpad,Intermediate,400,50,15,0,12,783.0000000000146,741.8261212717716,196.87103490452108,446.19660112501055,463.05705045849464,454,441.36127167630053,397.8087581473094,-20.316365107041694,0
P4,S0,dom,Dominant,Touchpad,Intermediate,400,50,15,0,13,920.9999999999854,446.19660112501055,463.05705045849464,790.7090915285202,264.15267138484,766,255.6300578034682,397.8087581473093,-17.137394177447405,0
P4,S0,dom,Dominant,Touchpad,Intermediate,400,50,15,0,14,791,790.7090915285202,264.15267138484,412.37047985323886,387.08233816355187,420,375.4566473988439,397.8087581473093,-10.848640869424928,0
P4,S0,dom,Dominant,Touchpad,Intermediate,400,50,15,0,15,921,412.37047985323886,387.08233816355187,808,345.5,805,339.5086705202312,397.80875814730933,-2.357301222654412,0
