participant_code,session_code,condition_code,hand_dominance,Pointing Device,Device Experience,mean_completion_time,mean_click_error,mean_throughput
P1,S1,C2,Dominant,Touchpad,Intermediate,981.0066666762034,46.666666666666664,0.4593319240025024
P1,S1,C3,Non-Dominant,Touchpad,Intermediate,1257.6333333333334,33.33333333333333,0.4133635073055401
P1,S0,C3,Non-Dominant,Touchpad,Intermediate,1422.7199999968211,46.666666666666664,0.3704626122131998
P1,S0,C2,Dominant,Touchpad,Intermediate,955.3733333269756,80.0,0.3421505183914549
P1,S2,C1,Non-Dominant,Mouse,Intermediate,1192.8333333333333,6.666666666666667,2.83318271315496
P1,S2,C0,Dominant,Mouse,Intermediate,633.8133333365123,46.666666666666664,4.470193016586014
P1,S1,C1,Non-Dominant,Mouse,Intermediate,1446.2600000063578,6.666666666666667,2.113736984741038
P1,S1,C0,Dominant,Mouse,Intermediate,603.2,33.33333333333333,4.2127720605885415
P1,S0,C0,Dominant,Mouse,Intermediate,603.3600000063578,40.0,4.144279326703046
P1,S0,C1,Non-Dominant,Mouse,Intermediate,1261.0,40.0,2.4753292955370885
P1,S2,C2,Dominant,Touchpad,Intermediate,967.8,73.33333333333333,0.3863951446209299
P1,S2,C3,Non-Dominant,Touchpad,Intermediate,1527.9866666634878,20.0,0.5128895212483612
P3,S2,C1,Non-Dominant,Mouse,Intermediate,1623.4000000000003,6.666666666666667,1.599186483008319
P3,S2,C0,Dominant,Mouse,Intermediate,997.7333333333332,6.666666666666667,3.318158396242014
P3,S0,C3,Non-Dominant,Touchpad,Intermediate,1194.2,0.0,2.998013892285966
P3,S0,C2,Dominant,Touchpad,Intermediate,860.8666666666667,0.0,4.046354162740312
P3,S1,C2,Dominant,Touchpad,Intermediate,860.6666666666664,0.0,4.473483533508885
P3,S1,C3,Non-Dominant,Touchpad,Intermediate,1211.2666666666669,0.0,2.9779154998646065
P3,S2,C2,Dominant,Touchpad,Intermediate,811.4666666666667,0.0,4.854424583813176
P3,S2,C3,Non-Dominant,Touchpad,Intermediate,1170.0666666666666,6.666666666666667,2.834593166572092
P3,S0,C0,Dominant,Mouse,Intermediate,1028.8,0.0,3.3052110727330963
P3,S0,C1,Non-Dominant,Mouse,Intermediate,1593.3333333333333,0.0,2.051121955283121
P3,S1,C1,Non-Dominant,Mouse,Intermediate,1376.6666666666667,13.333333333333334,1.2701533699503798
P3,S1,C0,Dominant,Mouse,Intermediate,964.2666666666668,0.0,3.880481052686094
P2,S2,C3,Non-Dominant,Mouse,Intermediate,1694.0866666793822,13.333333333333334,1.9103650957015696
P2,S3,C0,Dominant,Mouse,Intermediate,911.3133333365124,0.0,4.3212823165433605
P2,S1,C0,Dominant,Touchpad,Intermediate,1185.6333333333334,0.0,2.938371857730988
P2,S2,C0,Non-Dominant,Touchpad,Intermediate,1514.5133333365122,6.666666666666667,2.2602119832501275
P2,S1,C1,Non-Dominant,Touchpad,Intermediate,1407.5733333269754,6.666666666666667,2.3332661150925045
P2,S1,C0,Dominant,Touchpad,Intermediate,1089.4,6.666666666666667,2.892618753751673
P2,S2,C0,Dominant,Touchpad,Intermediate,1082.0733333269754,6.666666666666667,3.3216411459216295
P2,S2,C1,Non-Dominant,Touchpad,Intermediate,1549.8733333269754,6.666666666666667,2.255878455736289
P2,S1,C3,Non-Dominant,Mouse,Intermediate,1699.6333333333334,0.0,1.944871857090755
P2,S2,C2,Dominant,Mouse,Intermediate,899.1866666634877,0.0,4.106464004628207
P2,S1,C2,Dominant,Mouse,Intermediate,843.9066666603088,6.666666666666667,4.488329358372117
P2,S4,C0,Non-Dominant,Mouse,Intermediate,1695.0733333269754,6.666666666666667,2.1148375857186923
P0,S2,C0,Dominant,Mouse,Intermediate,787.6933333317439,0.0,4.620016279586448
P0,S2,C1,Non-Dominant,Mouse,Intermediate,1235.6933333317438,0.0,3.0973321206719024
P0,S1,C2,Non-Dominant,Touchpad,Intermediate,1551.2733333349229,0.0,2.377947611223918
P0,S1,C2,Dominant,Touchpad,Intermediate,1385.1933333357176,0.0,2.90274228472426
P0,S0,C2,Dominant,Touchpad,Intermediate,1439.5266666650773,0.0,2.787045131004729
P0,S0,C2,Non-Dominant,Touchpad,Intermediate,1646.2333333333331,0.0,2.304703579350887
P0,S2,C3,Non-Dominant,Touchpad,Intermediate,1530.9200000007947,0.0,2.4914316600040873
P0,S2,C2,Dominant,Touchpad,Intermediate,1411.953333334128,0.0,2.974856154700791
P0,S1,C0,Dominant,Mouse,Intermediate,797.2399999976158,0.0,4.616528392962587
P0,S1,C1,Non-Dominant,Mouse,Intermediate,1544.4200000007947,0.0,2.2977281414502646
P0,S0,C1,Non-Dominant,Mouse,Intermediate,1479.0866666674617,6.666666666666667,2.3208596216091
P0,S0,C0,Dominant,Mouse,Intermediate,908.9200000007947,0.0,4.309242684995103
